year,developer,price,items_count
2008,Ascension Entertainment LLC,Free Mod,Blazing Badger
2001,Millenium Project Enterprises,Free to Play,Crank Goblin
2015,XLGAMES,Free to Play,Double Fine Productions
2015,"Filip Victor,Valve",Free,"Pilgrim Adventures,GrabTheGames Studios"
2015,Timedrop Studios,Free to Play,Treyarch
2015,"Team NINJA,KOEI TECMO GAMES CO., LTD.",Free to Play,"Signal Studios,Smart Ghost"
2015,Hyper Hippo Games,Free to Play,dtp – young entertainment Gmbh &amp; Co. KG
2015,Joycity,Free to Play,Starbreeze Studios AB
2015,Vostok Games,Free to Play,Erotes studio
2013,"Ratalaika Games S.L.,Woblyware",Free,Ubisoft
2016,Creative Assembly,Free to Play,Marmoset LLC
2015,Stephane Bottin,Free to Play,Techland
2015,Jeff Trier,Free to Play,Ubisoft - San Francisco
2015,Bytebin,Free to Play,Pixel Guy
2015,Blender Foundation,Free,Her Interactive
2015,Tigerish Games,Free to Play,"Signal Studios,Krome Studios"
2015,"Bluehole, Inc.",Free to Play,Ronimo Games
2015,Emad,Free,Matrix Trains
2015,Playsaurus,Free to Play,Proletariat Inc.
2011,"Relic Entertainment,Europe at War Development Team",Free,Lemondo Entertainment
2015,S2 Games,Free to Play,"Aerosoft GmbH,Stairport Sceneries"
2015,Andrettin,Free to Play,TSS Studio
2015,Digital Leisure Inc.,Free to Play,"Mido Basim,Danny Wei"
2015,Mr. Blue,Free to Play,"SmiteWorks USA, LLC"
2015,Diminished Studios,Free to Play,Eagle Dynamics SA
2017,AKGames,Free,TAMSOFT
2013,Blue Byte,Free to Play,Linkflag Studio
2015,momoStorm Entertainment,Free to Play,Circumlocutory Games
2015,Blue Manchu,Free,Bittersweet Entertainment
2015,Soccer Manager Ltd,Free to Play,"SmiteWorks USA, LLC"
2015,MAGICS,Free To Play,The Sims Studio
2015,Scary Bee LLC,Free,Martin Knopf
2015,"Jarbit,Castle art by Yuriy Gusev",Free,Ubisoft - San Francisco
2015,MobileBits,Free,Archaic Entertainment
2015,Wacha,Free,Delve Interactive
2015,Stolen Couch Games,Free,iEntertainment Network Inc
2008,"Silverlode Interactive,Wasatch Games",Free,Looking Glass Studios
2015,the whale husband,Free,@unepic_fran
2015,The SKSE Team,Free,YETU GAME
2015,Sapphire Dragon Productions,Free to Play,Ubisoft - San Francisco
2015,Rogue Snail,Free,Boogygames Studios
2010,Blue Byte,Free to Play,Aggroblakh
2015,Ice Water Games,Free,ZeroBit Games
2015,Crystice Softworks,Free to Play,ViquaSoft
2007,Teeworlds Team,Free,Valut
2015,Matthew Brown,Free,Ubisoft - San Francisco
2015,Icy Donut,Free to Play,Lux Caput (Andrey M)
2015,Johannes Eski,Free to Play,Binji
2014,Tuomo Laine,Free to Play,Colossal Order Ltd.
2013,FNGames,Free to Play,Ninja Theory
2015,Star Vault AB,Free to Play,"KOEI TECMO GAMES CO., LTD."
2015,CoaguCo Industries,Free to Play,Unfinished Pixel
2015,Trav Nash,Free to Play,Faris Mohammed
2015,Hi-Rez Studios,Free to Play,uegamestudio
2006,EasyAntiCheat Ltd,Free,Obsidian Entertainment
2015,Confused Genius,Free,Interactive Gaming Studios
2015,Fabian Jarrett,Free,Odin Game Studio
2015,FIVE-BN GAMES,Free to Play,LR Studio
2015,Aratog LLC,Free to Play,Wreck Tangle Games
2007,ShareX Team,Free,Exordium Games
2015,LUCKY GIRLS LIMITED,Free to Play,Red Mount Media
2014,Duion,Free to Play,Powerhoof
2015,Mango Protocol,Free,Carenado
2015,Studio Pixel,Free to Play,AEL Entertainment
2015,Michael Zahniser,Free,Payoff Technologies
2015,Michael Zahniser,Free to Play,Date Nighto
2015,Oblivionburn Productions,Free,Choice of Games
2015,"Bitl,Cobalt-57",Free,Xuse
2015,Ankama Studio,Free to Play,FeelThere
2015,Kosek.com,Free to Play,Crispy Software Development
2015,Tall Story Studios,Free,David Schneider
2015,AMPLITUDE Studios,Free,Ubisoft - San Francisco
2015,Tactic Studios Inc.,Free to Play,Absolutist Ltd.
2015,Kidalang,Free to Play,"Alterego Games,Digital Forest"
2015,VoidDev,Free,Ubisoft - San Francisco
2015,Quality Simulations,Free to Play,"SmiteWorks USA, LLC"
2015,Piranha Games Inc.,Free to Play,santasco.com
2015,ARTDINK,Free,Geek Sloth Games
2015,Exordium Games,Free,NeoNight
2015,Ubisoft Montreal,Free to Play,Mana Games
2015,"Cameron Baxter,Billy Jazz Hills Stickley",Free,PlayFirst
2015,Red Team Games,Free to Play,"SmiteWorks USA, LLC"
2015,ICE Entertainment,Free,NetherRealm Studios
2015,ICE Entertainment,Free,Warhead Entertainment
2016,ebi-hime,Free to Play,"Redlynx Ltd,Ubisoft  Shanghaï"
2016,Vicious Cycle Software,Free,"Ubisoft Paris,Ubisoft Annecy,Ubisoft Bucharest,Ubisoft Montpellier,Ubisoft Milan,Reflections"
2016,"CRAZYDIAMOND CO., LTD.",Free,Ivanovich Games
2016,Frere d'Arme,Free,Dark Day Interactive
2016,Aratog LLC,Free to Play,GamePhase
2016,SionoiS,Free to Play,Ubisoft - San Francisco
2015,Orihaus,Free to Play,Ubisoft - San Francisco
2016,Mana Games,Free to Play,Ubisoft - San Francisco
2014,dotBunny,Free to Play,"Monolith Productions, Inc."
1999,Sven Co-op Team,Free,Daily Magic Productions
2016,"Noah System,Mgame",Free to Play,Rumpus
2016,4 I Lab,Free to Play,Albatros Softworks
2016,Dream Reactor,Free to Play,Lukas Jaeckel
2016,CivilSavages,Free to Play,Zoink Games
2016,YFC games,Free to Play,"Comcept,Inti Creates"
2016,Soccer Manager Ltd,Free to Play,Visual Imagination Software GbR
2016,Crematorium of Time,Free to Play,United Independent Entertainment GmbH
2016,Guru Games,Free,Ubisoft - San Francisco
2016,Storm Sharks,Free to Play,Gearbox Software
2016,ESTsoft Corp.,Free to Play,Ice-Pick Lodge
2016,Cake Collective Games,Free,Bane Games
2016,Valve,Free,Triple Rush Games
2016,ComixPlay,Free to Play,MAGICS
2016,Holotech Studios,Free to Play,Orange_Juice
2016,LKA,Free,Trendy Entertainment
2016,Playa Games GmbH,Free to Play,Studio Pixel
2013,RETREAM,Free,Delve Interactive
2014,1C:InoCo,Free,"Traveller's Tales,TT Games,Feral Interactive (Mac)"
2016,JED GAMES,Free to Play,"Gabriel Priske,Luke Thomas"
2016,Fervent,Free to Play,Coconut Island Studio
2013,Snowed In Studios,Free to Play,Odd Emu
2016,Free Range Games,Free to Play,Simon Prefontaine
2016,White Wizard Games,Free,"Capcom U.S.A., Inc."
2016,From Earth Team,Free,Argent Games
2016,"IO Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",Free HITMAN™ Holiday Pack,Gloomywood
2015,Kukouri Mobile Entertainment,Free to Play,Kmany Design
2016,Wholetone Games,Free to Play,Awfully Nice Studio
2016,"Anchora Games,Dream Harvesters",Free to Play,Ubisoft - San Francisco
2016,Playcademy,Free to Play,Tap It Games
2016,G2CREW,Free to Play,Oointah
2016,"IMCGAMES Co.,Ltd.",Free to Play,exosyphen studios
2016,CloudTheWolf Games,Free to Play,Antoine Bilodeau
2015,"KOEI TECMO GAMES CO., LTD.",Free,Creative Assembly
2016,Okinawa Sunrise,Free,The Men Who Wear Many Hats
2016,Sean Davy,Free,"SmiteWorks USA, LLC"
2016,Ronimo Games,Free,initials
2016,Team17 Digital Ltd,Free to Play,Sweet Dog Studios
2016,LWNA,Free,Flight Systems
2016,Cadence Games,Free to Play,Telltale Games
2016,Fallen Snow Studios,Free to Play,Secret Level SRL
2016,Lemonsucker Games,Free to Play,vikingfabian.com
2016,Imperia Online LTD,Free to Play,PadLabs GmbH
2016,FURYU Corporation,Free,inXile Entertainment
2017,Mojang,Free,Anima Chambers
2016,Great War Team,Free to Play,Noble Empire Corp.
2016,Keinart Lobre,Free,Press Play
2016,Specter Game Studios,Free,Coffee Powered Machine
2016,Keinart Lobre,Free To Play,Lubiterum
2016,NIKITA ONLINE,Free to Play,Frozenmark Games
2016,Moon Studios GmbH,Free,Anvate Games
2016,Anticto,Free,StormBrewers
2016,Animus Interactive Inc,Free to Play,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
2016,Parallaxian Pty Ltd,Free to Play,KFriske Studios
2016,Supra Games,Free To Play,Ubisoft - San Francisco
2016,Gearbox Software,Free to Play,Dovetail Games
2016,Crunchy Games,Free to Play,team BitClub
2016,Dark Gaia Studios,Free,Victory Works
2016,Wish Fang,Free To Play,Fatshark
2016,Kingdom Games,Free,Treyarch
2016,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",Free,Black Lime Studio
2016,varlamov5264,Free to Play,Freebird Games
2016,"MPR ART Hallucinations,David Szymanski",Free,EnsenaSoft
2017,Firaxis,Free,Kittehface Software
2016,"Traveller's Tales,TT Games,Feral Interactive (Mac)",Free To Play,CookieByte Entertainment
2016,Fuero Games,Free to Play,Red Barrels
2016,Wormwood Studios,Free,Foolish Mortals Games
2016,Shugasu UG,Free To Play,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2016,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",Free,MoaCube
2016,Monkeys Tales Studio,Free to Play,Antiproto
2016,Holotech Studios,Free,Jakub Klementewicz
2016,Holotech Studios,Free,Prootgames
2016,Stardock Entertainment,Free to Play,GameUS Inc.
2016,YFC games,Free To Play,Slant Six Games
2017,Renegade Kid,Free,Stainless Games
2016,"Носков Сергей,Дмитрий Николаев",Free,SmashMouth Games Ltd
2016,Bad Pixel,Free to Play,"Iron Galaxy Studios, LLC"
2016,Colossal Order Ltd.,Free,Team Tripleslash
2016,Storm Sharks Production,Free,MAGIX Software GmbH
2016,FiolaSoft Studio,Free To Play,Rob Howland
2017,"SmiteWorks USA, LLC",Free to Play,Wrecked Angle Studios
2016,Absolutist Ltd.,Free To Play,Arc System Works
2012,SplitmediaLabs,Free,AlternativaPlatform
2016,"KADOKAWA,Yoji Ojima,Studio Saizensen",Free,Hydravision Entertainment
2016,"KADOKAWA,Yoji Ojima,Studio Saizensen",Free,Force Of Habit
2016,"インレ,Inre",Free To Play,Yobowargames
2016,MuHa Games,Free,Nexon
2016,MuHa Games,Free,FobTi interactive
2016,Manipulation Machine,Free to Play,Ginger Labs LLC
2016,The Simutrans Team,Free,DayByDay Studio
2013,GameUS Inc.,Free,Righteous Hammer Games
2016,Mi'pu'mi Games GmbH,Free,Rebellion
2008,Saucer Software,Free To Play,Illwinter Game Design
2016,Mokus,Free to Play,Lightmare Studios
2016,Big Fish Games,Free,Big Way Games
2016,Big Fish Games,Free,Skyhook Games
2016,Mad Head Games,Free,BUGBEAR
2016,Mechanical Boss,Free To Play,Fishing Planet LLC
2016,Blam! Games LLC,Free To Play,Santa Clara Games
2017,radio,Free To Play,WHITEROCK games
2016,Freakinware Limited,Free To Play,Toontraxx Studios
2013,Robert Ferry,Free,Pixeljam
2016,Heroic Games,Free,Emerald Interactive Games
2016,The Game Creators,Free,Conflux Games
2016,Lostwood,Free,VolumeUp Studios
2016,Starodymov,Free,Homemade Games
2016,Reperio Studios,Free,KUMA GAMES
2017,Crystal Dynamics,Free To Play,UroboroStudio
2016,Brave Bunny,Free,"Ironclad Games,Stardock Entertainment"
2016,Pipeworks Studio,Free,Colossal Order Ltd.
2016,Stolen Couch Games,Free to Play,Indie Games Studio
2016,Pipeworks Studio,Free,Eminent Softworks
2016,Frudelsoft,Free,Puuba
2017,Choice of Games,Free,MAGES. Inc.
2017,Bluehole Ginno Games,Free,Avalanche Studios
2016,Fantasy Flight Games,Free,Engage Pixel
2016,Mikael Kinnullder,Free,CUTE ANIME GIRLS
2017,"KxONE,Andrew Drumov,starmops",Free To Play,Asymptotic Games
2016,Sergey Eybog,Free,"SmiteWorks USA, LLC"
2015,Infernal Anvil Games,Free To Play,Peoleo Entertainment
2016,"Cloudcade, Inc.",Free To Play,Reiza Studios
2016,Elephant Games,Free,"D3Publisher of America, Inc."
2016,"S2 Games, LLC",Free to Play,Sirlin Games
2016,Hyper Hippo Games,Free To Play,Wormwood Studios
2016,Netker Inc.,Free to Play,Beavis Soft
2016,Musopia,Free,Rebourne Studios
2017,virtualRailroads,Free,Charyb Games
2014,Myshkin Entertainment,Free,Halycon Media
2016,DL Softworks,Free,Positech Games
2016,Monster Games,Free To Play,Lag Studios
2016,Looterkings,Free,studio wasp
2016,Monster Games,Free To Play,Paradox Development Studio
2016,Monster Games,Free To Play,Chocoarts
2016,"The Creative Assembly,Feral Interactive (Mac)",Free,Targem Games
2016,JaviteSoft,Free To Play,Zworkshop
2016,Hi-Rez Studios,Free to Play,Good Games
2016,TTCX Inc.,Free To Play,Ghostbutter
2016,"Psychic Software,Goblin Portal",Free To Play,Old Keyboard
2016,Pinokl Games,Free,"Monolith Productions, Inc."
2016,Image &amp; Form,Free,"Infinity Ward,Aspyr (Mac)"
2016,Santa Ragione,Free,Erdem Sen
2016,Edge Case Games Ltd.,Free to Play,Chasing Carrots
2016,StrangeLight Games,Free To Play,Robot Circus
2016,Fula Fisken,Free To Play,ARTDINK
2015,"Cyanide,Umix Studios",Free To Play,Volumetric Games
2016,Artplant,Free to Play,Yang Sun
2016,"Sebastian Schöner,Alex Cottrell",Free,Alabeo
2017,Frontier Developments,Free To Play,Arachnid Games
2016,SmartHart Games,Free,Ubisoft - San Francisco
2016,L. Stotch,Free To Play,SANDLOT
2016,"Potassium Frog Limited,Automata Source",Free,Hi-Rez Studios
2016,Colin Jones &amp; The Potassium Frog,Free,Laush Studio
2016,Pehesse,Free,"SmiteWorks USA, LLC"
2016,Home Net Games,Free To Play,"SmiteWorks USA, LLC"
2016,Timberwolf Studios,Free,CPsoft
2016,Vladimir Maslov,Free To Play,Arrowhead Game Studios
2016,"Rainbow Studios,THQ Nordic",Free To Play,Stegalosaurus Game Development
2016,FergaTroid Studios,Free,"Dan FitzGerald,Trichotomy"
2010,Dead Drop Studios LLC,Free,Afrobeast Games
2015,Paul Harrington,Free To Play,Henchman &amp; Goon
2016,Holotech Studios,Free,Jan Zizka
2016,Red Duck Inc.,Free,Microblast Games
2016,Bloodwolf Studio,Free,"Spike Chunsoft Co., Ltd."
2016,"Egidijus Bachur,Alexey Davydov",Free To Play,Blue Manchu
2016,Quiet River,Free,GSC Game World
2016,Stijn Van Cauter,Free,WOLCEN Studio
2017,Gas Powered Games,Free,"FarSight Studios, Inc."
2016,Katsudou Mangaya,Free To Play,NIGORO
2013,"CAPCOM Co., Ltd.",Free To Play,Red Herring Labs
2016,Cruderocks,Free To Play,HateBit
2016,Felip Guimerà,Free to Play,"Elias Viglione,Jussi Kukkonen"
2016,"Hassey Enterprises, Inc.",Free To Play,Zeroscale
2016,"Pyramid,Chara-Ani,G.rev Ltd.",Free,Big Fish Games
2016,Toposim,Free,Ubisoft - San Francisco
2016,Reto-Moto,Free to Play,Skyshine Games
2016,NukGames,Free To Play,"Idea Factory,Compile Heart"
2016,Monster Games,Free,RadiationBurn
2016,Monster Games,Free,Dodge Roll
2016,Spellbook,Free To Play,Yosemite Entertainment
2016,Cubical Drift,Free,"Relic Entertainment,Feral Interactive (Mac/Linux)"
2016,Rock Crow,Free To Play,Crytek
2016,CPsoft,Free To Play,"Signal Studios,Smart Ghost"
2016,Gamious,Free,"LeshaWhite Studio,LeshaWhite Studio"
2014,"IDEA FACTORY,COMPILE HEART",Free To Play,"Reflections, a Ubisoft Studio"
2016,SUPERCORE Games,Free,Skyhook Games
2016,"WEBZENONNET Co., Ltd.",Free to Play,Gearbox Software
2011,PLut,Free,neko.works
2016,Team Cat 'n Mice,Free,Tuomo Laine
2016,Carbon Studio,Free,Julia Games
2016,Carbon Studio,Free,Craftven
2016,Carbon Studio,Free,Digital Confectioners
2016,"CreSpirit,GemaYue",Free,AHEARTFULOFGAMES
2016,ColloseusX,Free To Play,Eugen Systems
2016,"Apocoplay LLC,Ludeme Games,Coreedge Inc",Free to Play,Nocturne Games
2014,Cat Nigiri,Free,Suppressive Fire Games
2016,Adhoc Games,Free,Metanet Software Inc.
2016,BYU Animation -  Class of 2016,Free,toxtronyx interactive GmbH
2017,7 Raven Studios,Free,IllFonic
2017,Playtonic Games,Free,Reppo
2015,Last Day of Work,Free,Lazy 8 Studios
2016,Modesty,Free To Play,The Hyper Carries!
2016,Ubisoft - San Francisco,Free,Liar-soft
2016,Improx Games,Free,Infogrames
2015,TBA Games,Free,XPAGAME
2017,Jamo Games,Free,Gaijin Entertainment Corporation
2016,Wargaming Group Limited,Free to Play,Days of Wonder
2014,Jason Sadler,Free To Play,Strategiae
2016,Pyrodactyl,Free,Vagabond Dog
2016,PIXOWL INC.,Free,Mokus
2016,Technomancy Studios,Free To Play,Sliverbroom Studios
2016,Monster Games,Free,Stainless Games
2016,Monster Games,Free,Ubisoft - San Francisco
2016,Monster Games,Free,Absolutist Ltd.
2016,Frank Lucas,Free,Icy Studios
2016,Dire Wolf Digital,Free To Play,SomaSim
2017,AIGRIND,Free to Play,rakusomoku
2016,Brain&amp;Brain,Free,"keenEdge,Neocortex"
2017,YFC games,Free To Play,Ubisoft - San Francisco
2016,AHA Entertainment,Free To Play,World-Loom
2016,Tabletopia Inc.,Free to Play,Other Ocean Interactive
2016,"James Montgomery,Daniel Paez,Jeff Jackman,Lance Montgomery,Michael Nova",Free,Llama Software
2016,"Spiff Tune,Nickervision Studios",Free,Shortbreak Studios s.c.
2016,Miria Studios,Free,Crytek
2016,Invi Games,Free,WaveDNA
2016,GamersHype Productions,Free,Scythuz
2016,Piranha Games Inc.,Free,Nocturnal works
2014,rologfos,Free To Play,Causal Bit Games Inc.
2016,Thylacine Studios,Free,Creative Assembly
2015,studio wasp,Free To Play,"KOEI TECMO GAMES CO., LTD."
2016,Brightrock Games,Free,Kenny Sun
2016,"Far East War Development Team,Relic",Free To Play,OrionSoft
2016,Quiet River,Free,IteraLabs
2016,StudioQi,Free To Play,Marvelous Inc.
2016,Gestmorph Games,Free To Play,Ubisoft - San Francisco
2016,Gamemag,Free To Play,"2K Czech,Feral Interactive (Mac)"
2016,Kiz Studios,Free To Play,OVERKILL - a Starbreeze Studio.
2016,Insane Mind Games,Free,Cryptic Studios
2016,Skatanic Studios,Free,Rise of One
2016,Game Studio Abraham Stolk Inc.,Free,DL Softworks
2016,Milestone S.r.l.,Free,"Grey Havens, LLC"
2016,Fernulldo Cordoba,Free,Stainless Games
2016,Game Science,Free to Play,"Traveller's Tales,TT Games,Feral Interactive (Mac)"
2015,GRAOUMF,Free,Nival
2016,SVRVIVE Studios,Free,HeR Interactive
2016,"FarSight Studios, Inc.",Free to Play,Hut 90
2016,Ubisoft - San Francisco,Free To Play,GameUS Inc.
2016,"FarSight Studios, Inc.",Free To Play,Overhype Studios
2016,Eternal Night Studios,Free To Play,Ronimo Games
2015,14 Dimension Enterprise,Free,Nerd Kingdom Inc.
2017,TERNOX,Free,inXile Entertainment
2017,Snowrunner Games,Free,No Bull Intentions
1997,Kids up hill,Free,Spotted Zebra Software LLC
2017,Milestone S.r.l.,Free,"SmiteWorks USA, LLC"
2017,Trilith Entertainment Ltd,Free to Play,Aleksandar Kuzmanovic Games
2017,Eidos Montreal,Free to Play,"Monolith Productions, Inc."
2015,"CAPCOM Co., Ltd.",Free to Play,Ocumens LLC
2017,Hyper Hippo Games,Free To Play,"BadFly Interactive, a.s."
2017,BANDAI NAMCO Studios Inc.,Free,Stray Fawn Studio
2017,Forever Entertainment S. A.,Free,NSE Circuit
2017,Warped Tales,Free,TERNOX
2017,SG Data,Free To Play,Iced Lizard Games
2017,I3,Free,Axel Sonic
2017,"Expansive Worlds,Avalanche Studios",Free,Crispy Software Development
2016,"Gravvit Ltd,Forbes  Consult Ltd",Free,"Dumativa Creative Studio,Castro Brothers"
2015,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",Free To Play,People Gotta Play
2017,Olivier LeClair,Free,Spicyhorse
2013,Royal Polygon,Free To Play,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2017,Ubisoft - San Francisco,Free To Play,Pinterac
2017,Square Enix,Free to Play,MEGAFUZZ
2017,BANDAI NAMCO Studios Inc.,Free,s_unk
2012,Sherman3D,Free,"Rafael Barreto,MacKenzie Kaser"
2017,Schrolab,Free To Play,"Fancy Bytes, Reactor"
2017,Ran,Free To Play,FlatRedBall
2017,Mortis Games,Free To Play,Flying Wild Hog
2014,SoftWeir Inc.,Free To Play,Studio Bean
2017,DR Studios,Free to Play,Poking Water Games
2016,"Maciej Targoni,Wojciech Wasiak",Free to Play,Matthew Wester
2016,Swing Swing Submarine,Free,Atmosphere Entertainment Studios
2017,Skylar Stickley,Free,Dovetail Games
2017,Monster Games,Free,Ithaqua Labs
2017,Robert Pelloni,Free,League of Geeks
2017,BANDAI NAMCO Studios Inc.,Free,Ubisoft - San Francisco
2017,"KOEI TECMO GAMES CO., LTD.",Free to Play,Tamsoft
2001,Funcom,Free To Play,John Wizard
2011,Cryo Interactive,Free,NukGames
2007,"HANBITSOFT, INC.,IMC GAMES CO.,LTD.",Free to Play,Fishing Planet LLC
2017,Kinelco &amp; Lone Elk Creative,Free To Play,Soldak Entertainment
2017,Fairytale Distillery,Free,Pipeworks Studio
2017,FantaBlade Network,Free,DarkDes Labs
2017,"Crow's Key Studios, LLC",Free,"Artees,Trizton,Will Goss"
2017,Just1337 Studio,Free To Play,Otterly Bearable Games
2017,Avallon Alliance,Free To Play,"PolarityFlow,Adrian Zingg"
2017,Automaton,Free to Play,Innuendo Squad Studios
2017,"L. Stotch,Vladimir Soldatov",Free To Play,V7 Entertainment Inc.
2016,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",Free,CodeBrush Games
2017,Threye Interactive,Free,SharkGame
2017,Deckbound,Free To Play,Black Cloud Studios
2017,ds-sans,Free,"SmiteWorks USA, LLC"
2017,Expect Studio,Free To Play,Infinity Ward
2017,Arcane Raise,Free,PyrofrogStudos
1996,Revolution Software Ltd,Free,Access Games
1997,Revolution Software Ltd,Free,"SmiteWorks USA, LLC"
2017,Milestone S.r.l.,Free,"KrossRails,Dovetail Games"
2017,"Binary Zoo,The Game Creators",Free to Play,Jon Gallant
2010,Ubisoft - San Francisco,Free to Play,Saibot Studios
2015,Snail-Ninja Studio,Free To Play,"Arc System Works,DotEmu"
2017,"KOEI TECMO GAMES CO., LTD.",Free to Play,Valve
2017,"KOEI TECMO GAMES CO., LTD.",Free to Play,exosyphen studios
2017,"KOEI TECMO GAMES CO., LTD.",Free to Play,Amaterasu Software
2017,Arrowiz,Free To Play,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2017,Virtys,Free To Play,DoubleBear Productions
2017,DOG HOGGLER,Free To Play,Lee Sang
2017,VooFoo Studios,Free,Fakt Software
2017,Capcom,Free to Play,StevenHarmonGames
2017,Panoramik Inc,Free,Nothing Rhymes With Entertainment
2017,Laminar Research,Free,takk
2017,Laminar Research,Free,Musopia
2017,Laminar Research,Free,Forever Entertainment S. A.
2017,Laminar Research,Free,Computerhouse
2017,Laminar Research,Free,Team 6 Studios
2017,Laminar Research,Free,SubJuegos
2015,imaginite Ltd,Free To Play,Simple Blue
2017,Infinity Ward,Free,TAMSOFT
2014,ForepawSoft,Free,Ubisoft - San Francisco
2016,ForepawSoft,Free,Kurechii
2017,IPACS,Free To Play,Chainsaw Syndicate
2012,Smartbig Corportion,Free To Play,Pixel with Hat
2017,Screwy Lightbulb,Free,Omniconnection
2017,Kyvos Studios,Free,Silk Games
2015,LaboRatStudio,Free To Play,KOG
2017,Vogelfänger,Free,"Gravity, Inc."
