user_id,price,items_count,recommend
CaptianAutismo,1.99,62.0,1.0
maxgp,14.99,77.0,1.0
AppaTheSwagBison,3.99,77.0,1.0
knightboy991,3.99,67.0,1.0
76561198075895633,4.99,38.0,1.0
kube134,2.99,476.0,1.0
iamthekingofbrowntown,2.99,124.0,1.0
MainScout,2.99,36.0,1.0
gdxsd,4.99,79.0,1.0
Posiblydead,1.99,255.0,1.0
Mossy_Gaming,4.99,21.0,1.0
76561198093817084,1.99,65.0,1.0
76561198102421718,9.99,88.0,1.0
76561198079045885,14.99,36.0,1.0
76561198087407319,1.99,66.0,1.0
76561198074466513,9.99,31.0,0.0
damo131,1.99,20.0,1.0
19702316748,39.99,94.0,1.0
FrystHjarte,5.99,39.0,1.0
sad-commie,9.99,306.0,1.0
Sillybaby,11.99,0.0,1.0
76561198030567998,1.99,75.0,1.0
76561198010674657,6.99,0.0,1.0
Coldaniel,9.99,133.0,1.0
therealmorty,2.99,174.0,0.0
itslonk,7.99,133.0,1.0
DeDroidUreLookin4,7.99,52.0,1.0
Berserklejerker,4.99,123.0,1.0
76561198088799241,4.99,76.0,1.0
76561198061730629,4.99,87.0,1.0
YoHuNz,0.99,153.0,1.0
possessioniskey,39.99,23.0,1.0
76561198072732874,9.99,49.0,1.0
76561198093112529,1.99,30.0,1.0
sevqu,3.99,28.0,1.0
76561198060447950,3.99,55.0,1.0
whiteofwolfing,3.99,21.0,1.0
76561198056857968,0.99,64.0,1.0
sergarino,2.99,80.0,1.0
PyroCreed,4.99,55.0,1.0
76561198052897627,2.99,20.0,1.0
76561198081962345,4.99,95.0,1.0
76561198039266268,9.99,13.0,1.0
76561198094224872,2.99,25.0,1.0
76561198073210139,1.99,39.0,1.0
Nozomikat,4.99,108.0,1.0
76561198076933844,0.99,33.0,1.0
76561198072186059,4.99,57.0,1.0
xfluttersx,4.99,344.0,0.0
76561198068621601,7.99,8.0,1.0
76561198056290589,8.99,41.0,1.0
ii_voltage_ii,3.99,456.0,1.0
76561198097762318,1.99,22.0,1.0
Hirukaz,19.99,81.0,1.0
76561198183396245,4.99,24.0,1.0
otteloo,14.99,115.0,1.0
shinra420,4.99,42.0,1.0
Xx-Woods,9.99,173.0,1.0
kevinator23,24.99,71.0,1.0
tonyballoney,5.99,38.0,1.0
76561198090715178,3.99,82.0,1.0
CatsWhale,19.99,0.0,1.0
Child_Vs_Puddle,0.99,28.0,1.0
mimimomoma,3.99,191.0,1.0
76561198102410011,2.99,22.0,1.0
de_Butl3r,4.99,17.0,1.0
76561198157999555,4.99,3.0,1.0
76561198027947401,19.99,27.0,1.0
Bluezap1,4.99,50.0,1.0
76561198074200011,11.99,4.0,1.0
jonasdbomb,27.99,461.0,1.0
L1J1N,1.99,34.0,1.0
Lord_Exploit,3.99,48.0,0.0
76561198079106676,4.99,83.0,1.0
76561198092244787,8.99,33.0,1.0
Sanctus94,2.99,75.0,0.0
76561197990792016,4.99,113.0,1.0
76561198068415226,14.99,0.0,1.0
AVATAR715,4.99,186.0,1.0
76561198073987767,9.99,24.0,1.0
Fluxxyz,1.99,8.0,1.0
76561198092150873,14.99,75.0,1.0
YieuwMage,14.99,70.0,0.0
76561198078752187,0.99,0.0,1.0
Nfkted_CS,4.99,17.0,1.0
A-Very-Sly-Person,14.99,45.0,1.0
76561198211054671,3.99,0.0,1.0
76561197994493402,14.99,151.0,1.0
Koolcaz12,11.99,0.0,1.0
76561198065656175,2.99,110.0,1.0
76561198188979775,5.99,8.0,1.0
97396295,7.99,22.0,1.0
M1ss_P1nk,9.99,0.0,0.0
xoFushiox,4.99,49.0,1.0
76561198126640317,0.99,27.0,1.0
DemonicWolvz,9.99,106.0,1.0
DieMadchenschanderin,4.99,200.0,1.0
76561198052784112,14.99,0.0,1.0
76561198072706529,4.99,59.0,1.0
GGargula,39.99,185.0,1.0
Myther43,9.99,213.0,1.0
getf0kinn0sc0pedm9,7.99,78.0,1.0
76561198141443390,2.99,107.0,1.0
76561198097333029,2.99,23.0,1.0
dominiclim99,9.99,16.0,1.0
whodafuqisthisguilao,2.99,41.0,1.0
76561198072205329,2.99,21.0,1.0
Icamebackbitches,9.99,76.0,1.0
Magjiikal,4.99,162.0,1.0
ohnospaghet,4.99,176.0,1.0
76561198060062487,9.99,5.0,1.0
76561198050347115,2.99,95.0,1.0
2768820078,1.99,91.0,1.0
76561198049968536,1.99,53.0,0.0
76561198056392326,9.99,141.0,1.0
2d4nk4m3,5.99,160.0,1.0
76561198074003102,5.99,9.0,1.0
76561198078478151,2.99,23.0,1.0
exiaez,2.99,37.0,1.0
BURNINGchicken3,2.99,307.0,1.0
76561198066835162,0.99,112.0,1.0
76561198069593452,29.99,34.0,1.0
undietaker,9.99,92.0,1.0
76561198095921854,4.99,82.0,1.0
EizanAratoFujimaki,9.99,391.0,1.0
POOTISSPENSOR,11.99,26.0,1.0
angorabug,4.99,49.0,1.0
TeCool,2.99,56.0,1.0
ZyhgarThestarweaver,2.99,179.0,0.0
2xDelorean,9.99,55.0,1.0
washington_,1.99,112.0,1.0
jewxxl,29.99,0.0,1.0
76561198092540221,3.99,0.0,1.0
76561198061769804,9.99,40.0,1.0
76561198061475436,4.99,0.0,1.0
76561198051258119,12.99,73.0,1.0
76561198065771371,0.99,64.0,1.0
nubquake123,9.99,76.0,1.0
Pyromanic,6.99,41.0,1.0
76561198109656922,2.99,43.0,1.0
76561198149432604,14.99,14.0,1.0
Unplanned_stategy,19.99,39.0,1.0
CobRazor,0.99,70.0,1.0
relesprit,19.99,104.0,1.0
76561198090294067,2.99,59.0,0.0
talove112345,0.99,105.0,1.0
76561198055094875,1.99,41.0,1.0
WitchHunter4542,9.99,75.0,1.0
76561198203244300,6.99,40.0,0.0
pwrt,1.99,51.0,0.0
wantmahbody,1.99,83.0,1.0
76561198115868847,13.99,33.0,1.0
benedictcuminherbatch,3.99,5.0,1.0
76561198031207016,34.99,41.0,1.0
76561198089077856,3.99,4.0,1.0
76561198043458582,9.99,168.0,1.0
kerim77,4.99,0.0,1.0
smashiroshh,49.99,172.0,1.0
shark854,2.99,37.0,1.0
76561198062876401,7.99,153.0,1.0
PabloSanches,1.99,116.0,1.0
76561197991074667,12.99,14.0,1.0
killbunny38,9.99,110.0,1.0
76561198047630659,9.99,133.0,0.0
76561198069713121,14.99,115.0,1.0
1997-07-06_J077,2.99,7.0,0.0
76561198076248461,4.99,19.0,0.0
76561198080832419,14.99,10.0,1.0
76561198151645088,4.99,27.0,1.0
IAA_Recon_Dropbear,4.99,195.0,0.0
sithjjf,1.99,0.0,1.0
goonbagger,9.99,30.0,1.0
76561198060039459,6.99,35.0,1.0
OzfurAtlas,19.99,125.0,1.0
76561198065593074,6.99,111.0,1.0
madmax64,19.99,81.0,1.0
76561198044169764,7.99,57.0,1.0
euzi,4.99,19.0,1.0
76561198074935997,4.99,0.0,1.0
76561197961778802,11.99,0.0,0.0
lucasrash,12.99,27.0,1.0
76561198016602703,3.99,0.0,1.0
76561198082845362,4.99,6.0,1.0
76561198087010391,1.99,7.0,1.0
76561198015747875,9.99,0.0,1.0
66666669999999,4.99,121.0,1.0
76561198061174192,4.99,131.0,0.0
DoaFapbeforeaNap,4.99,114.0,1.0
ReMiXOfficalSteam,2.99,106.0,1.0
Wilfire77,4.99,113.0,1.0
76561198042730234,24.99,36.0,1.0
76561198069159579,9.99,25.0,0.0
76561198086476445,14.99,18.0,0.0
76561198085016240,69.99,59.0,0.0
76561198060808273,2.99,310.0,1.0
76561198084390807,7.99,26.0,1.0
76561198003688205,9.99,7.0,1.0
Mastic,3.99,365.0,1.0
Scooterinooo,2.99,40.0,1.0
76561198028286104,9.99,30.0,0.0
76561198088447673,3.99,36.0,1.0
deathnz1,19.99,250.0,1.0
readingthis4noobs,9.99,57.0,0.0
SonicMCGamer,9.99,19.0,1.0
xXBoss1Xx,6.99,3.0,1.0
76561198084698198,3.99,143.0,1.0
76561198104393251,5.99,51.0,1.0
Borne901,8.99,58.0,0.0
76561198075322986,0.99,91.0,1.0
redsncrimson,4.99,65.0,1.0
76561198151910904,3.99,38.0,1.0
H1DD3NT3RR0R,2.99,108.0,1.0
76561198071214618,9.99,93.0,1.0
sisiiik,14.99,33.0,1.0
76561198071175142,0.99,67.0,1.0
t8s,5.99,70.0,0.0
pikawuu2,2.99,100.0,0.0
Sammeh00,1.99,96.0,1.0
godlike_bot,0.99,33.0,1.0
dpswaffles,13.99,18.0,1.0
NoObFiGHtEr,1.99,49.0,1.0
Michaelele,2.99,66.0,1.0
76561198045754869,0.99,124.0,1.0
76561198076098774,5.99,9.0,1.0
76561198074963071,0.99,24.0,1.0
76561198103253374,2.99,26.0,1.0
76561198048417105,4.99,12.0,1.0
76561197989175394,1.99,31.0,1.0
76561198090842891,9.99,40.0,1.0
76561198058706736,8.99,20.0,1.0
76561198055767971,2.99,95.0,1.0
76561197998052647,1.99,113.0,1.0
adohya343,59.99,137.0,1.0
76561198145436942,0.99,34.0,1.0
jjas01,9.99,0.0,1.0
3xotic26,1.99,153.0,1.0
iamthetrashlord,7.99,191.0,0.0
nothingheretrustme,14.99,44.0,1.0
76561198071253729,39.99,43.0,1.0
3dster,16.99,113.0,1.0
76561198041808338,9.99,81.0,1.0
76561198016685643,9.99,124.0,1.0
_za,4.99,0.0,1.0
76561198035588228,3.99,0.0,1.0
76561198079990063,8.99,26.0,1.0
Forty-Nine,4.99,114.0,1.0
76561198051017916,3.99,763.0,0.0
L4M1NAS,4.99,74.0,0.0
emurphy8,2.99,29.0,1.0
76561198096766604,4.99,48.0,1.0
Sephirical,24.99,130.0,1.0
76561197995322437,0.99,36.0,1.0
imsojipper,9.99,196.0,1.0
76561198066840831,2.99,7.0,1.0
76561198096220900,11.99,38.0,1.0
76561198084542731,19.99,61.0,1.0
fullswag0to100realquick,5.99,24.0,1.0
76561198061913628,3.99,0.0,0.0
76561198102121026,2.99,1.0,0.0
76561198023094381,3.99,0.0,0.0
76561198103671881,1.99,96.0,1.0
mrpfresh,4.99,791.0,1.0
GamerFag,9.99,64.0,0.0
76561197970628046,2.99,83.0,0.0
76561198013858002,4.99,40.0,1.0
76561198045133986,2.99,43.0,0.0
CocoRichy,1.99,0.0,0.0
EHS-R3AP3R,4.99,0.0,1.0
76561198002820828,7.99,129.0,1.0
chidori_647,2.99,723.0,1.0
76561198092227136,0.99,333.0,0.0
76561197975388604,9.99,0.0,0.0
hellcat59,4.99,55.0,1.0
76561198007584361,1.99,138.0,0.0
tbimperator,2.99,279.0,0.0
Allahu_Akbar666,6.99,86.0,0.0
ulramite,2.99,135.0,0.0
76561198080534850,9.99,63.0,0.0
-GM-Dragon,14.99,106.0,1.0
LeoRocksAce,4.99,24.0,1.0
76561198054040292,6.99,90.0,0.0
76561198078799606,4.99,0.0,1.0
76561198155458511,0.99,56.0,1.0
76561198045065985,5.99,0.0,1.0
I_DID_911_JUST_SAYING,17.99,154.0,0.0
76561198077035732,3.99,14.0,1.0
76561198072625764,3.99,44.0,1.0
A_Je_100,14.99,13.0,1.0
imagoatieatpoo,1.99,22.0,1.0
750805,4.99,690.0,1.0
76561198080881726,1.99,43.0,1.0
Thatishayden,14.99,122.0,0.0
76561198033864626,0.99,0.0,1.0
Flabbernackle,0.99,261.0,1.0
diabeticfuck,1.99,121.0,1.0
magicalpony,0.99,6.0,1.0
76561197962104795,7.99,79.0,0.0
76561198054465623,9.99,230.0,1.0
76561198074257942,1.99,178.0,1.0
aaropro,14.99,36.0,1.0
Aaron_ggf,9.99,664.0,1.0
76561198074324939,39.99,0.0,1.0
abhorence,39.99,0.0,1.0
abiam,9.99,46.0,1.0
76561198037346576,12.99,89.0,1.0
FrankoWalker,11.99,53.0,1.0
DaDanMan,9.99,184.0,1.0
SALTTHEW0UND,5.99,114.0,0.0
abuffalostuckinatree,1.99,0.0,0.0
express157,0.99,75.0,1.0
76561198070215484,3.99,0.0,1.0
76561198074644990,2.99,132.0,1.0
76561198064304806,9.99,36.0,1.0
3456457568,2.99,90.0,1.0
76561198045776691,7.99,0.0,1.0
TomoeMamiewe,14.99,63.0,1.0
76561198057086148,0.99,66.0,1.0
Acidius99,1.99,128.0,1.0
76561198067150343,7.99,105.0,1.0
acorn13,9.99,404.0,1.0
adamcookie,11.99,40.0,1.0
AddzyTheBaddzy,8.99,138.0,1.0
mrfunkyjunkie,8.99,0.0,1.0
76561197997824340,6.99,255.0,1.0
76561198076154360,0.99,18.0,1.0
76561198055524901,3.99,28.0,1.0
mradobe7,1.99,250.0,1.0
zomboy151,0.99,164.0,0.0
76561198167207237,2.99,58.0,1.0
cancerkek,15.99,50.0,1.0
matto1499,2.99,55.0,1.0
76561198073508075,4.99,47.0,1.0
76561198074323290,5.99,0.0,1.0
76561198090899557,3.99,62.0,1.0
Advancebest,9.99,92.0,1.0
advenger95,9.99,104.0,1.0
EndAtHallow,7.99,66.0,1.0
76561198060820384,1.99,24.0,1.0
76561198063624801,9.99,87.0,1.0
aeryal,4.99,55.0,1.0
vault_brothers,1.99,59.0,1.0
After2night,12.99,30.0,1.0
76561198029090446,4.99,79.0,1.0
76561197968819541,299.99,39.0,1.0
76561198070263209,14.99,0.0,1.0
76561198015968275,6.99,278.0,1.0
defender_10,34.99,54.0,1.0
76561198006540520,0.99,0.0,1.0
Agiegamma,19.99,109.0,1.0
76561198082614708,2.99,28.0,0.0
76561198066465411,9.99,38.0,1.0
Agronoth,10.99,206.0,0.0
Ricardio556,7.99,113.0,0.0
madgamerzzz,4.99,15.0,0.0
76561198068565589,9.99,120.0,1.0
SlutOnTheSpit,4.99,62.0,1.0
76561197974897475,2.99,0.0,1.0
WestyGaming,0.99,89.0,1.0
76561198031278382,3.99,0.0,1.0
NaruseAiria,7.99,390.0,1.0
airro,9.99,0.0,0.0
76561198265081359,2.99,16.0,0.0
RemixEbola,29.99,0.0,1.0
76561198046844795,14.99,11.0,1.0
76561198067713802,1.99,46.0,1.0
76561198187212131,1.99,29.0,1.0
76561198044678148,2.99,0.0,1.0
rjh91,3.99,51.0,1.0
Alex680,4.99,0.0,1.0
alansiulun,12.99,47.0,1.0
whitewolfang1,8.99,0.0,1.0
Albolah,9.99,11.0,0.0
76561198003056556,4.99,557.0,1.0
76561198063941075,3.99,228.0,1.0
76561198088886304,2.99,97.0,1.0
maxpaynepillkiller,6.99,207.0,1.0
AlexNoClutch,2.99,0.0,1.0
Alexwai04,1.99,0.0,0.0
76561198056092813,19.99,236.0,1.0
76561198095481910,19.99,74.0,1.0
76561198060059014,4.99,0.0,1.0
76561198089024454,4.99,54.0,1.0
76561198034129825,2.99,111.0,1.0
76561197994664479,39.99,0.0,1.0
76561198164545985,4.99,4.0,1.0
tninjat,9.99,26.0,1.0
76561198068935240,2.99,90.0,1.0
76561198091368975,9.99,0.0,1.0
76561198036955150,0.99,24.0,1.0
76561198018840908,2.99,101.0,1.0
AlkalineDeath,3.99,53.0,1.0
76561198075935236,0.99,42.0,1.0
Vigilante8,9.99,0.0,0.0
Jupeter117,19.99,114.0,1.0
gsgg,6.99,104.0,1.0
76561198075258452,1.99,50.0,1.0
Jesusunholy,9.99,22.0,1.0
mintifreshbadger,9.99,101.0,1.0
HenryCT,9.99,35.0,0.0
AlpacaRevolution,2.99,57.0,1.0
76561197996305896,7.99,72.0,0.0
AlphaBryn444,19.99,99.0,1.0
76561198071952798,9.99,0.0,1.0
76561198009001563,7.99,245.0,1.0
76561198016753953,3.99,31.0,1.0
smegmyfoodle,8.99,78.0,1.0
76561198141882120,4.99,0.0,1.0
altas2011,19.99,44.0,0.0
silentbroadcaster,14.99,116.0,1.0
76561198057869849,0.99,84.0,1.0
76561198058836921,9.99,0.0,1.0
lol_ursuchanoob,7.99,160.0,0.0
rhysf,0.99,51.0,1.0
AMLN,6.99,0.0,0.0
76561198040021446,6.99,57.0,1.0
ShadowBall4011,19.99,0.0,1.0
76561198035890730,4.99,30.0,1.0
AMV72,4.99,1041.0,1.0
76561198069170979,3.99,50.0,1.0
76561198085956238,3.99,88.0,1.0
76561198132540690,1.99,55.0,1.0
711armageddoncarmageddon,9.99,96.0,0.0
76561198058301224,39.99,397.0,0.0
76561198055326484,6.99,25.0,1.0
76561198034868596,4.99,140.0,1.0
AncientBlade,0.99,23.0,0.0
Andraison,9.99,84.0,1.0
76561198048401235,6.99,78.0,0.0
76561198055790408,19.99,0.0,1.0
76561198050465176,9.99,72.0,1.0
76561198026258913,4.99,109.0,1.0
76561198099625419,4.99,198.0,1.0
someone6245,4.99,116.0,1.0
76561198084032274,19.99,70.0,1.0
76561198030772859,4.99,102.0,1.0
Angrovar,29.99,82.0,1.0
76561198069005048,2.99,32.0,1.0
-AnimeIsMyThing-,34.99,127.0,0.0
uradumbtit,34.99,246.0,1.0
76561198037038784,9.99,136.0,1.0
IKillNoobsFirst,9.99,48.0,1.0
76561198037888300,17.99,124.0,1.0
operationblueberry,6.99,65.0,1.0
1234865654,14.99,76.0,1.0
76561198040925596,9.99,0.0,1.0
antacy,0.99,35.0,1.0
76561197992148038,5.99,523.0,1.0
76561198084123358,4.99,35.0,1.0
76561198034942509,15.99,212.0,0.0
76561198032377745,14.99,71.0,1.0
capitaomurilao,1.99,63.0,1.0
Apachehavoc,0.99,81.0,1.0
ApexNZ,9.99,62.0,1.0
76561198039441595,1.99,389.0,1.0
76561198036687918,5.99,130.0,1.0
Apollopepsi,5.99,96.0,1.0
benjamin27,19.99,105.0,1.0
AppoGetsSuperAdmin,3.99,54.0,0.0
ARRIVE,15.99,45.0,1.0
76561198071475367,49.99,37.0,1.0
r3ap3r78,3.99,331.0,1.0
Aquilares,1.99,296.0,1.0
76561198049916759,4.99,0.0,1.0
76561198065064829,9.99,10.0,1.0
XABLAUziitu,5.99,86.0,1.0
76561198012909706,14.99,182.0,1.0
aarcanicuss,14.99,21.0,1.0
dragonchief,9.99,264.0,0.0
76561198040530605,8.99,120.0,1.0
76561198060989765,19.99,0.0,1.0
76561198047185525,2.99,114.0,1.0
mestuajix2,0.99,8.0,1.0
76561198067188826,3.99,34.0,1.0
ArcticTek,1.99,62.0,1.0
76561197974465310,2.99,72.0,1.0
sweep6060,8.99,107.0,0.0
76561198090279813,6.99,0.0,0.0
bilyitu,5.99,53.0,0.0
76561198021244661,3.99,0.0,1.0
76561198088538797,4.99,53.0,1.0
76561198089844789,4.99,43.0,1.0
76561198072861800,19.99,7.0,1.0
deployablearchnagel,3.99,119.0,1.0
rotflmaoman,4.99,120.0,1.0
76561198088670023,0.99,54.0,1.0
76561198081028176,15.99,66.0,1.0
76561198093106303,2.99,0.0,1.0
ArmouredForBattle,6.99,6.0,1.0
armouredmarshmallow,1.99,119.0,1.0
darrenfordfalcon,2.99,85.0,1.0
76561198020928326,14.99,110.0,1.0
76561198045570160,2.99,131.0,1.0
arockstar28,14.99,38.0,0.0
Array71,3.99,222.0,1.0
alexms69,9.99,0.0,1.0
76561198039874575,29.99,103.0,1.0
arronlim13,7.99,131.0,1.0
76561198042389215,3.99,170.0,1.0
76561198006534186,1.99,81.0,0.0
artej96,5.99,12.0,1.0
ARTHERDUNGER10,4.99,167.0,1.0
Mackus1011,14.99,267.0,1.0
76561198089950447,1.99,40.0,1.0
sontersaurus,9.99,0.0,1.0
darkmassieh,3.99,174.0,1.0
Boomblasty,12.99,12.0,1.0
asianturtlefrenzy,9.99,87.0,1.0
Edmund28,3.99,38.0,1.0
blowjobsfurdayzandgayz,11.99,104.0,1.0
76561198082992295,4.99,21.0,1.0
LaLocaDeLosDulces,4.99,48.0,1.0
76561198096064761,4.99,12.0,1.0
76561198064352761,9.99,117.0,1.0
Astrelt,19.99,297.0,1.0
bakhtiar93tiarstudio,11.99,0.0,1.0
bobjimmy007,4.99,126.0,1.0
76561198091740831,4.99,25.0,1.0
76561198095380303,11.99,68.0,1.0
AtomicWoodchuck,4.99,0.0,1.0
76561198050251204,1.99,0.0,0.0
76561198052003136,2.99,27.0,0.0
omgihaveawebpage,3.99,126.0,1.0
Swish0009,24.99,181.0,1.0
76561198030943851,5.99,81.0,1.0
Aurora99,2.99,136.0,1.0
minionking,1.99,22.0,1.0
76561198083375450,3.99,215.0,1.0
scroopy22,19.99,460.0,1.0
76561198078730600,9.99,0.0,1.0
76561198076984454,4.99,31.0,1.0
76561198091054851,9.99,144.0,0.0
iDestrix,11.99,46.0,1.0
auzzie_96,4.99,92.0,0.0
76561198009353440,6.99,43.0,1.0
76561198082020576,14.99,47.0,1.0
fatrangacuntnolifevirgin,21.99,52.0,1.0
helvisavillon,4.99,2.0,1.0
76561198080015704,9.99,27.0,1.0
76561198040602004,2.99,75.0,1.0
76561198082959786,3.99,25.0,1.0
76561198064150679,4.99,86.0,1.0
76561198110293299,1.99,80.0,1.0
cam5699,14.99,105.0,1.0
de_triggered,9.99,53.0,1.0
76561198071748311,0.99,29.0,1.0
76561198045888087,0.99,0.0,1.0
azzydazzy,14.99,136.0,1.0
76561198048900256,7.99,44.0,0.0
76561198000392178,4.99,0.0,1.0
-Azsael-,6.99,167.0,1.0
76561198076301023,2.99,12.0,1.0
wolfhunter,1.99,0.0,0.0
76561198065247809,4.99,170.0,1.0
76561198046512409,9.99,0.0,0.0
76561198086081043,4.99,54.0,1.0
hoarbiscuit,24.99,183.0,1.0
bohgeraltofrivia,11.99,130.0,1.0
TeH-B-Rad,69.99,128.0,1.0
BAW_Killer,4.99,134.0,1.0
moriceplease,1.99,20.0,1.0
gamerdude7892,9.99,72.0,1.0
76561197970168558,0.99,33.0,1.0
Arsenal_,6.99,0.0,1.0
timothyshen,2.99,20.0,1.0
76561198227794828,4.99,53.0,1.0
76561198118595651,3.99,35.0,1.0
BBBirb,2.99,51.0,1.0
76561198018950738,3.99,138.0,1.0
76561197998761331,3.99,0.0,1.0
hamfritta,9.99,168.0,0.0
76561198064579722,9.99,54.0,0.0
76561198096750939,4.99,0.0,1.0
potatoskins,1.99,72.0,1.0
crispymemesmantheyremyfavourite,15.99,97.0,1.0
76561198044593618,6.99,41.0,1.0
76561198074409406,9.99,57.0,1.0
76561198051433041,14.99,0.0,1.0
76561198156282807,79.99,0.0,1.0
76561198049617612,19.99,102.0,1.0
H-Alo,4.99,86.0,1.0
76561198042365104,2.99,0.0,1.0
76561198075444114,1.99,43.0,1.0
420Blz,1.99,199.0,1.0
76561198076548816,2.99,73.0,1.0
76561198026741163,9.99,0.0,1.0
76561198075039895,0.99,35.0,0.0
chillrend,3.99,56.0,1.0
76561198218877443,24.99,3.0,1.0
76561198070149038,19.99,31.0,1.0
76561197994407780,2.99,21.0,1.0
76561198035548591,9.99,15.0,1.0
76561198068765460,0.99,0.0,0.0
BarretaJrs,1.99,0.0,0.0
Gborges,3.99,122.0,0.0
lukeyturley,13.99,42.0,0.0
SergeantBash111,2.99,191.0,0.0
76561197980751730,2.99,0.0,1.0
76561198071872532,0.99,26.0,1.0
PolygonCloud,5.99,126.0,0.0
76561198083661294,14.99,1.0,1.0
76561198043660058,1.99,118.0,1.0
76561198095142204,9.99,71.0,1.0
BOB_200,39.99,121.0,1.0
76561198070735033,4.99,130.0,0.0
76561198018560501,7.99,44.0,1.0
76561198069458790,6.99,0.0,1.0
76561198010642927,2.99,196.0,1.0
76561198047208452,5.99,285.0,1.0
bcott,2.99,0.0,0.0
rangi92,14.99,0.0,1.0
generalale,2.99,59.0,1.0
76561198027831921,16.99,14.0,1.0
76561197992830435,7.99,0.0,1.0
brendoboy,7.99,255.0,0.0
76561198071234254,3.99,50.0,1.0
76561198165870150,29.99,38.0,1.0
76561198083049918,3.99,36.0,1.0
76561197988934555,14.99,0.0,1.0
Infixation,9.99,601.0,1.0
76561198071162228,3.99,40.0,1.0
brodo764,9.99,117.0,1.0
76561198047304525,1.99,177.0,1.0
76561198068855162,2.99,115.0,1.0
76561197998217937,0.99,0.0,1.0
76561197994969639,19.99,69.0,1.0
76561198200015694,11.99,30.0,1.0
76561198064016444,0.99,58.0,0.0
